Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Actual sentence
1834,3T6SSHJUZE9YOCDIIY5LP9T8IE1IIS,5.2,5.8,2.4,30,185,83.33333333,4.466666667,70,"Heeding those words, the 36-year-old Pakistani immigrant living in Yakima joined the Army National Guard and was sent to active duty at Fort Lewis and Fort Irwin in Southern California."
1835,311HQEI8RRFNUILWZBPAYF6P0BSZ7B,4,5.2,2.8,18,117,61.11111111,6.333333333,72.22222222,"He even developed teaching machines so students could learn bit by bit, uncovering answers for an immediate ""reward."""
1836,3MIVREZQVGX2B5RPV9V6BRZ71S7QKE,5.6,5.4,4,22,124,59.09090909,3.681818182,45.45454545,He first began to wield influence over the Tories between 1998 and 2001 when he donated several million pounds to the party.
1837,39I4RL8QGIG4KA3JRRLWVWIADJMH4K,3.8,5.4,3.6,15,81,60,7.533333333,46.66666667,He found him again midway through the quarter for a 26-footer that made it 72-42.
1838,39O6Z4JLX1W00DMDGR45786HET1VX2,3.6,5.4,3.4,15,75,50,8.266666667,46.66666667,"He found Pierce, who hit a 25-footer that made it 53-35 early in the third."
1839,3WPCIUYH1977PFD7KW3ECJF41Q9TDI,5.4,6,2.6,26,165,80.76923077,7.076923077,65.38461538,"He gave his first floor speech last week, outlining his support for a government-run plan to compete with private insurance companies under the health care overhaul."
1840,3DGDV62G7N8MUDMK6QADBQN3FW0P21,2.6,3.4,4,12,66,45.83333333,5.583333333,58.33333333,"""He got into a groove, he operated well,"" Baldwin said of Nichols."
1841,3R15W654VCSDVB97G977QRCMQSCQLH,4.6,4,4,20,107,52.5,7.8,70,"He got under Joy Behar's skin when he took some shots at CNN's rating, noting ""they don't have any pizazz."""
1842,344M16OZKHEEM8MNJVSM92RXCKPENW,4.4,4.6,3,20,126,67.5,5.6,70,He had already hired people to compile archival research on cars and to take oral histories from important automotive figures.
1843,3K8CQCU3KD08388E4VMSV8YXJOTNWK,4.4,5.8,4.6,28,144,62.5,8.357142857,53.57142857,"He had been quiet in the first half, taking just five shots and missing four, but for the second straight game, he came up huge after the break."
1844,3X55NP42ENFBFVI3AQOIU0SVLA0P3C,5.4,5.2,3.6,15,106,73.33333333,5.4,66.66666667,He had been working for the Comprehensive Nuclear-Test-Ban Treaty Organisation (CTBTO) at the UN building.
1845,3HXK2V1N4JEGH0TL37KQHH9BE5CG2N,4,3.6,5,6,36,50,6.666666667,83.33333333,He had even scouted potential sites.
1846,3L1EFR8WWS4L3KIPDWTN9JHDJWN9FA,2.6,2.8,4,9,58,38.88888889,6.666666667,66.66666667,He had even spent time online researching their positions.
1847,3QQUBC64ZDDNS8D4E0IEXRC4SQZNXD,4.6,4.8,3.8,29,155,74.13793103,5.344827586,65.51724138,"He had hoped the revival would be a ""victory lap"" for the 82-year-old Mr. Simon, whose last major hit on Broadway was ""Lost in Yonkers"" in the early 1990s."
1848,3IZVJEBJ69J4QI7RG1KIS16T5096ZK,5,5,5.2,25,151,80,4.6,52,He had met the families of two of the Marines while serving in an official family-support role for Echo Company 4th Reconnaissance Battalion in Joliet.
1849,3WUVMVA7OA25DKJU6E1U868F1JYZA2,4,4.4,5,36,192,56.94444444,5.944444444,69.44444444,"He hadn't released a new hit record in more than a decade, he'd lost his Neverland Ranch, and according to reports, he'd had his heart set on buying a Las Vegas estate that he couldn't afford."
1850,3WYZV0QBFICLRZO7BAD56WCAB1MBXD,4.6,6.2,2.8,17,100,70.58823529,4.294117647,58.82352941,He has authored 80 books mainly commentaries on religious texts - eighth among the lot on Upnishads.
1851,3KG2UQJ0MIN3JBCSSMNM3JGBVNCQNJ,5.2,5.2,5,21,149,76.19047619,4.047619048,66.66666667,He has contracts with several banking institutions to provide advice and peddles his experience to foreign governments through Tony Blair Associates.
1852,3EPG8DX9LJPETA57O9CB9XQFZ6RP52,4.2,5.2,4.2,20,122,72.5,6.4,65,"He has led peasants and squatters in claims for vast chunks of countryside, disputes that have on occasion turned violent."
1853,368IUKXGA47ACE5LTSMG134FV12P6I,5.8,5.8,2.8,46,286,65.2173913,3.630434783,63.04347826,"He has merely edited, not altered 'Ramcharitmanas' published by Geata Press, Gorakhpur, on the basis of much older editions printed by Venkatesh Press in 1900 or Khemraj Prakashan 1800, Manas Piyush Siddhant Tilak to name a few among the assorted 50 different editions he had consulted."
1854,388FBO7JZQSCSD3EJW4GG5JDUWTNYJ,6,5.2,4.2,33,218,71.21212121,4.424242424,60.60606061,"He has the support of neighbors, military veterans, his church, members of Congress and even a former immigration adjudicator, totaling 28 letters requesting immigration authorities to allow him to stay in the country."
1855,30OITAWPBP25HG9V8MHNC4TQZB09H8,3.8,3.4,4.2,21,109,61.9047619,6.761904762,52.38095238,He has yet to announce whether will decide to run for a sixth term in the next presidential election in 2011.
1856,3R6RZGK0XEBP0ICNLNQ7QMDQGZVVY8,5.4,6.6,2.6,21,133,83.33333333,5.380952381,61.9047619,"He is a board member of the Independence Heights Redevelopment Council and a founding member of Change Corps, a service organization."
1857,3QTFNPMJC5HCX3DJFI6ZUCSF0QXNZA,6,6,2.4,13,93,80.76923077,2.384615385,69.23076923,He is chairman of the Sharpstown Tax Increment Reinvestment Zone and Redevelopment Authority.
1858,304QEQWKZOJXD375C3TK32PY8TJO0Y,5.6,5.6,4,20,129,75,5.05,65,"He is declining campaign donations and focusing on a simple platform of lower taxes, smaller government and no red-light cameras."
1859,34OWYT6U3VG5DBKFE4Z8CGU5ZOF9I1,4.8,4.8,3.2,7,34,42.85714286,6,57.14285714,He is expected to sign this month.
1860,37PGLWGSJS5PU736I1QX2P8LAIQIK3,4.8,5.6,4.2,28,149,73.21428571,4.892857143,53.57142857,"""He is the first prime minister... that has ever in the history of the Misuse of Drugs Act gone against the advice of its scientific panel,"" he said."
1861,3QE4DGPGBQAQKE887L3EAW69YJ8G4J,3.6,5.2,4,35,233,61.42857143,4.857142857,68.57142857,"He just faithfully serves as a mindless stenographer for hidden people whose credibility you're told to accept even as they do nothing but spout manipulative, vapid idiocies about Churchillian Resolve designed to promote endless war."
1862,37G6BXQPLPKZP5ZFZNK3DWM2HVCEQJ,3.4,3.6,4.4,7,39,7.142857143,8.285714286,71.42857143,"""He just kept finding me,"" Pierce said."
1863,3APP19WN70D4Z1CMQ9WT7UQNUAEG64,2.6,2.6,3.4,6,28,41.66666667,5.833333333,50,He knows that has its place.
1864,3I7KR83SN9CWJ6A3E7KKPW9IRS49KC,1.4,2,6,1,6,100,0,100,Hellò.
1865,3C8QQOM6JO00EDLO312YHPL0ZIVIL6,3.6,3.4,2,1,6,0,0,0,Hello.
1866,3W1K7D6QSAGAWUOMCS1Q3HSLJ1KBZA,3,2.4,3.4,13,69,46.15384615,7.923076923,53.84615385,"Hello All,  I am wondering if someone else has run into this problem."
1867,3SBNLSTU6T43BRM6QOSWY7GLMMVZD4,1.4,2.8,4.4,8,40,75,4.375,62.5,hello all:  I have the same exact drive.
1868,31ANT7FQN71MGT7J5W460OOODFHH5P,4,3.8,3.2,33,167,50,4.939393939,57.57575758,"Hello all,  I would like to first say that I've been lurking on these forums for a long time and wish to say that the community here is very friendly and most helpful."
1869,3NQUW096N5773CSLZ7WL4WMXGS99LF,2.2,2,2.8,2,15,50,0,50,"Hello, Echofon."
1870,3Z3R5YC0P2M4NZR3B2Y40JIPD3PTFT,3.4,2.4,2.8,2,9,100,0.5,100,Hello Ed.
1871,3KWGG5KP6I1T7SH9B37R6Z2UMI2MCB,2.8,2.8,3.8,19,98,73.68421053,6,52.63157895,"Hello fellow Ottawan,    As a regular to LP, First question, what part of the city do you live in?"
1872,3XU80RHWHYFA8YFOCK1D17968E044L,3.2,5.2,2.6,27,153,81.48148148,4.666666667,59.25925926,"Hello, I am dual-booting XP and Feisty, and have a partition for Feisty (ext2) a partition for XP (ntfs) and a common work partition for both Os's(ntfs)."
1873,3Q7TKIAPOS9J6252BN1NQS5N7DNLD7,2.8,3.8,2.8,24,138,62.5,6.166666667,58.33333333,"Hello, I am looking for some help re travel insurance for someone who is on regular and ongoing medication to control high blood pressure."
1874,3EQVJH0T4ZKO1VI96SM434U2TI2THR,1.8,3,4.4,16,67,43.75,5.625,50,Hello I am new to UBUNTU too I love it but I have a similar problem
1875,3566S7OX5CIQZM0OR0GI6LMDNWG71V,3.8,5,4.6,19,109,71.05263158,5.736842105,52.63157895,"Hello, Is it possible in Ubuntu to set a default program for a file extension, indepentdently of its content?"
1876,3EQPA8A373VGEDMY0KE715BYR6TJZ3,2.2,4.4,3.4,14,89,53.57142857,4.285714286,64.28571429,"Hello,  I've been having an intermittent problem using wireless networks on my 12"" ibook."
1877,3H5TOKO3D8IONLJ2V8USY5TK456466,1.6,4,3,60,338,64.16666667,5.516666667,61.66666667,"Hello,    My wife and are are heading to Saratoga Springs to catch a concert in a couple of weeks, wondering if there's any hotels with walking distance of SPAC...want to have a few and not drive; also if anyone knows about bringing cocktails to the concert, I'm been given mixed advice; perhaps they have an outdoor bar at the concert..."
1878,3XEDXEGFX2NENCMQEB1RWL8POOAK0B,3.6,5,3.8,30,161,60,5.4,60,"Hello,    You might want to consider staying at a bed and breakfast or guest house as they offer larger rooms as oppose to small hotel rooms for a cheaper price."
1879,3P888QFVX2TL1WC4T1NZI8GGLXHQOY,3.6,5,3.8,14,66,32.14285714,6.928571429,57.14285714,He loved the food there and said it really made him think of home.
1880,3BPP3MA3TBJOY8J27IC7WAN87POLE0,2.6,4.6,6,42,203,60.71428571,6.928571429,54.76190476,"He loved to do that for shock effect, he had men in there and he had women in there, hangers-on trying to get a job or something, he had a big plate of food, eating with his fingers like a Roman emperor."
1881,3YGE63DIN7W5ICG73PKUKW2KBVIW0I,2,1.2,4.4,1,5,100,0,100,Help.
1882,32TMVRKDGMXBRZ2QONRQIJPBA0W48S,1.6,2,1.8,1,4,100,12,100,HELP
1883,3JMNNNO3B03CEMJLICO83KVZ8T2W22,3,3,4.8,6,35,83.33333333,3,83.33333333,Help Doug Hoffman for Congress now.
1884,3DTJ4WT8BCE83X06MJ3G4PY6MYWZEX,2,2.2,4.2,3,14,0,3,66.66666667,Helped me too.
1885,3ODOP6T3ARJ05K0186IP8SC8O0424N,1.6,2.2,4.6,2,12,50,6,100,help please!
1886,3P4C70TRMQGMIMFTDD2VWD8KK53LGH,1.8,2.4,5.2,8,45,50,2.875,75,"Help us, Olympia Snowe, you're our only hope!"
1887,3V7ICJJAZ9FUTX0XRZB09LFCI6H4BR,4.8,4.8,4.6,33,179,68.18181818,7.696969697,57.57575758,"""He made more impact in six years than anybody had ever made in such a short time in the collector car business. And possibly more impact than anyone who collected over 20 years."""
1888,3U74KRR67LKGBR4K9QHH8ORYFUBTN0,6,6.4,4.4,22,163,79.54545455,4.863636364,68.18181818,"He made sneak assaults against transports, cruisers, destroyers, airplanes, landing parties - anything to frustrate the pace of the overwhelming Japanese invasion."
1889,388CL5C1RIM0IIA4XJKDHDKLZ5GLHG,5.2,5.2,3.4,33,203,78.78787879,2.818181818,54.54545455,"He mentioned Typhoon Morakot, which lashed Taiwan with 80 inches of rainfall in August, and Typhoon Ketsana, which in September brought some of the worst rains ever recorded to Manila in the Philippines."
1890,3RIHDBQ1NDXKO0SPXVLSHQZAZA7MHK,3,4.6,4.2,43,241,68.60465116,3.627906977,65.11627907,"He named names as well: ""There's two commentators on Fox that really don't like Barack Obama, Glenn Beck and Sean Hannity, but the rest of us, Greta, Shepard Smith, Bret Baier, myself, we're willing to give the guy the benefit of the doubt."""
1891,3AC6MFV69JHKN7R8CKBMPSVJEEOZHD,2.2,1.8,5,5,20,30,4.2,40,Hence I need a visa.
1892,3MJ28H2Y1D7W8AT699ZWKXLPP1UO5J,3,4.8,4,3,17,0,1.333333333,66.66666667,He never arrived.
1893,3V8JSVE8YXP8Y7Q1QX1XQIP4G4TEYM,4.2,6,5.4,8,50,37.5,2.25,50,"He never returned, and neither did their daughter."
1894,3RHLQY6EDS3N8UYH5V264B3CLRT4DY,4.4,5,5,8,54,31.25,4.25,75,"He noted, however, that he's seeing encouraging signs."
1895,3SV8KD29L3RBPXSGI5EJ2KBB6VSZKH,4,5.2,4.6,12,65,58.33333333,4.833333333,50,He now has 18 touchdowns on the season to just two interceptions.
1896,3GKAWYFRAOS9XNK03FUU79E7CNPPDA,4.4,6,4.4,21,129,54.76190476,4.857142857,61.9047619,"He paid about $1,450 in fines and restitution and says Australian police promised that the convictions wouldn't go on his record."
1897,3FJ2RVH25Y512Q6DP1EGP0NOASI29J,2,4.8,4.4,20,84,50,7.7,40,"He picked up that big plate of food and threw it at me, and I just ran out the door!"
1898,3QGHA0EA0IZ62ZJH15HJ4DY32ZFWB4,3,4.4,4.2,19,96,52.63157895,3.736842105,47.36842105,He planned to build a museum to display them that he claimed would be the greatest in the world.
1899,3YD0MU1NC10MTADONJ9BHMFGRQM7AJ,5.6,5.2,4,20,114,35,4.35,60,"He predicted the museum would be completed by 2010, and he acknowledged he was far from finished buying more cars."
1900,3NKW03WTLL6T65L6KNE9Z2T2OZGQWA,3.4,4.4,5,8,46,68.75,8,75,He prefers large plates and casual dress code.
1901,3EKTG13IZT2MAWBFOG0Q9ISHGRFLMP,5.2,5.2,3,5,26,30,4.6,60,He rarely leaves his home.
1902,3W31J70BARVYH4H6QRUBRMAQXD7KC4,1.6,4.4,3.6,36,189,66.66666667,4.972222222,66.66666667,"(Her best and most frequent advice: ""Load up on crackers and junk food. Crackers for when you're sea sick and junk food for when you get the munchies at night and the mess deck is closed."")"
1903,375VSR8FVV8XC15B8PNG3WXP1NMZRA,4.2,5,5,22,158,81.81818182,5.363636364,63.63636364,Her comments appeared to represent a significant departure in tone from her previous statements demanding a total Israeli settlement freeze without exception.
1904,371Q3BEXDG89DG5ONENLT62LNP5ZSY,5.8,6.2,3.6,26,124,71.15384615,4.576923077,57.69230769,"Her cousin is Cody Ray Smith of San Pablo, who at 15 is the youngest of the four defendants charged in the gang rape so far."
1905,379OL9DBSRDR3BZKIMLBY4OTP7D9Y7,4.2,5.2,3.4,16,98,81.25,3.625,56.25,"Here, about 50 flat-screen televisions hang from the wall, a 60 percent increase in recent months."
1906,3CO05SML7U40AGZL4VAOXXU3JG3R0A,5.2,5.8,3.8,25,134,82,5.56,60,Here a crew of reservists with the Navy cleaned and re-cleaned the same section spotless hallway on a brand new ship to pass the time.
1907,37YYO3NWHCPGY65IYEDD33XIS4YCCJ,1.4,1.4,3,7,33,50,6.285714286,71.42857143,here are is content of my script.
1908,3DWNFENNE2U0BGY9FROH79YPQBPJ4Q,3.4,4.4,4.6,8,72,93.75,8.75,112.5,Here are the ground rules for SPAC:  http://www.spac.org/groundrules.cfm
1909,3QD8LUVX4WXJ2J7YA0MS3ACI150X5Y,3.8,3.8,3,20,112,55,4.25,60,Here are the top and bottom ten with the percentage of those polled who believe their wallets would be returned:
1910,3MQY1YVHS2JKQJLANLSCG6IEYSL2BT,4.4,3.6,5,16,83,40.625,7.625,75,Here are three reasons why we think investment in this sector has been slow so far.
1911,3LN50BUKPUASVZ8SGWSIQMMCLWQLPL,4.2,5.2,3.2,19,110,57.89473684,6.473684211,52.63157895,He recalled that Giannopoulos was handpicked to take courses on military tactics that he passed on to his men.
1912,31D0ZWOD09Y8BZD42KO2275TJCGA0M,5.6,5.6,3.2,40,269,80,5.8,70,"He received a standing ovation at his first caucus luncheon, has renewed old friendships among Republicans, and drawn support from senior Democrats, including Senators Dick Durbin of Illinois and Christopher Dodd of Connecticut, during his first floor speech last week."
1913,3QREJ3J432WRK8BC34NAU50DRMLKLK,4.6,4,4.8,5,30,20,2.8,60,He refused to comment further.
1914,3L1EFR8WWS4L3KIPDWTN9JHDJWNF9G,2.8,5.6,3.6,85,426,57.64705882,6.317647059,52.94117647,"""Here in Newport maybe you wouldn't think it was much of a party. But it was a swell night, with a big moon hanging over Manila Bay - peaceful - and best of all, all the girls had broken out with their civilian dresses. That doesn't sound like much, but one look at them after seeing nothing but uniforms for months was like a trip back home. Make-up too - they looked so goddamned nice you could eat them with a spoon. . . ."""
1915,34XASH8KLPLC1HQDG8TXQZ11L1HMPP,4.4,5.4,4.8,38,252,80.26315789,4.447368421,65.78947368,"Here in the state of Chattisgarh, Maoists dominate thousands of square miles of territory and have pushed into neighboring states of Orissa, Bihar, Jharkhand and Maharashtra, part of a so-called Red Corridor stretching across central and eastern India."
1916,391JB9X4ZX7BQQTX3GOPUIF2RRBKMM,4.2,4.4,3.2,12,64,83.33333333,7,66.66666667,Here is a list of some other private camp sites around Saratoga:
1917,3P4ZBJFX2U2WFGVX673FN3POHX7WFM,2.6,4,3.4,7,32,71.42857143,6.857142857,71.42857143,Here is a map link of manhattan.
1918,3WKGUBL7SYL666M9IC0UNOBHU0V4LE,2.8,4.4,3.6,12,56,45.83333333,4.25,66.66666667,Here is an info page that might help you plan your trip.
1919,3PKJ68EHDMVUNSM4UY801Y7TVGCHJB,1.8,1.2,4,6,22,50,9.333333333,50,Here is the good one :
1920,30ZKOOGW2V58IOYMY3S2GCO3O4MA1P,3.8,4.8,3.8,7,34,71.42857143,5.142857143,71.42857143,Here is the link for central park.
1921,3MJ9GGZYO25F79GIH7SGLVY8GA0A26,2.6,2.6,2.4,4,19,50,5,75,here is the output:
1922,3WJGKMRWVH8Q3YBWYA8ON9F0D4ACDJ,2,3,3.2,9,46,77.77777778,6.777777778,66.66666667,Here is the tail-end of the pppd call tmobile.
1923,31YWE12TEZBYPNLHYT1P1UQESBVX7D,2.4,5,3,30,172,75,2,63.33333333,"here is the ( temporary )script to UNMOUNT and SPINDOWN the ahrddrive without being root ( require pmount , zenity and sdparm , sudo aptitude install pmount zenity sdparm )"
1924,34R3P23QHR0GTCM31XRFQO11XCKWHK,2,4,1.6,8,56,87.5,3.625,100,here is the website for Fish Creek www.fishcreekpond.com
1925,3ZXV7Q5FJANN1IPSPG3EB9ILPHQFCX,4.8,5.8,3.8,32,162,42.1875,8.6875,59.375,"He relished being a part of the armed services he had admired for so long, and heading back home to make a movie would take him away from it all, perhaps forever."
1926,3K2CEDRACA0AT9JKXP2HV92YA42MTU,5.2,5.2,3,41,248,81.70731707,3.634146341,65.85365854,"Here on the vast Kampar peninsula, a land carpeted with dense forests and veined by unpredictable rivers, many isolated communities without their own schools or road access must send children such as Fandi and Alfan out onto the busy river highway."
1927,3NBFJK3IOGHUO7IQQ5INOUCEFA8OG1,2.8,3.4,2.8,9,47,61.11111111,5.555555556,66.66666667,Here's a list of finance figures who showed up.
1928,33NKDW9FFWH414GDPA90HGISTMMXC6,3,5.2,3.6,19,106,71.05263158,4.210526316,63.15789474,Here's a post for a relatively slow Friday afternoon: two ads for Bing that vaguely tie in with Halloween.
1929,3N7PQ0KLI4O7I4TD1C870OTR7463EF,1.8,5.4,4.2,75,622,78.66666667,3.693333333,84,"Here's how I do it:  > Open mime.types: sudo gedit /etc/mime.types > Search for file extension: <ctrl+f> ""file type"" > Copy Mimetype > Create a backup of defaults.list: sudo cp /usr/share/applications/defaults.list /usr/share/applications/defaults.list.backup > Open defaults.list: sudo gedit /usr/share/applications/defaults.list > Search for Mimetype: <ctrl+f> <ctrl+v> (mimetype should still be on your clipboard) > List available applications: ls /usr/share/applications/*.desktop > Change default application or Mimetype in the form [mime-type]=[new-app].desktop > Save mime.types > Restart nautilus: killall nautilus"
1930,3B0MCRZMBQTIMKNQ8OLP73VWQ6SPPO,2.4,2.4,2.6,4,20,-12.5,0.25,100,Here's how it works:
1931,3NSCTNUR2YM766Z5ZQUEJ21K0KRA57,2.4,2.8,3.6,3,17,50,0,66.66666667,Here's my output:
1932,36FFXPMST8N8O3D1AB059UOFUALOH0,2.4,2.8,3.4,10,56,75,1.1,70,Here's our rundown of the week's tech and business news.
1933,3FBEFUUYRJ43PAZJ494JB8FKWF2A6N,1.6,2.6,4.2,9,58,22.22222222,3.222222222,77.77777778,Here's some of what I've done:  Followed walkthrough here:
1934,31N9JPQXIOHQ6IDP9W0SU5OA40HHNF,3.8,4.6,4.6,19,119,60.52631579,2.578947368,63.15789474,here's the final version of the script (it assumes you have at least symlinked wdpassport to /dev/wdpassport via udev):
1935,3G4VVJO6PYFHBTQAVWGHBM9XWWMKPI,2.8,3,2.2,4,26,62.5,3.25,100,Here's the full interview:
1936,359AP8GAGFJAMPAM7X52NH54RT77CL,2.2,4.4,3.2,11,53,68.18181818,2.818181818,54.54545455,Here's the output from my attempt to burn an .iso cd:
1937,36FFXPMST8N8O3D1AB059UOFUAMHOU,2.8,3.4,4,6,27,25,3.333333333,83.33333333,Here's what Sly had to say:
1938,3RKHNXPHGVVU3YY6CIFBLSWW4DEUKO,3.6,2,5,6,37,8.333333333,3,83.33333333,Here's what voters thought they knew:
1939,3QX22DUVONGP61N92K2WWRQJ7PIMVA,4,2.6,4.4,7,43,71.42857143,4.142857143,57.14285714,He returned this year with greater purpose.
1940,3DQYSJDTYKAJY20RL1FV74IVEYZXEZ,3.8,5,4.6,11,60,63.63636364,4.727272727,54.54545455,He returned to the mainland after the new China was founded.
1941,3W3RSPVVGRQ5N4GOXIRC0S9BTDJULR,5.6,6.2,3.8,31,166,35.48387097,6.483870968,64.51612903,"""Her face was purple and blue and she wasn't moving when they finished and ran,"" said Eraclio Lopez, 23, who lives nearby and ran over when the police cars rolled up."
1942,3UUSLRKAUK2KRHG07T0D7NNMCTJ7DL,6.4,5.6,4,26,154,78.84615385,5.615384615,57.69230769,Her house arrest was extended by an additional 18 months in August for allowing an uninvited American man to stay at her home without official permission.
1943,3MIVREZQVGX2B5RPV9V6BRZ71S8KQ9,5.2,5.6,4.8,34,207,82.35294118,4.176470588,64.70588235,"Her lawyer, Nyan Win, who also is a spokesman for the opposition National League for Democracy, told reporters Saturday that the U.S. embassy in Rangoon is making arrangements with the party for the meeting."
1944,301KG0KX9BKUHWOWND282HLCT5Q2H9,1.6,3.6,5.2,10,56,40,2,60,"He's a 19 year-old father, though: so what, exactly, is?"
1945,30Z7M1Q8UXJQTOI7XO1HVMBB2ASA89,4.8,5.2,6,20,122,62.5,4.85,60,He said Beijing was fooling the world into thinking the situation between the Tibetan people and the Chinese had improved.
1946,3OYHVNTV5SXZQTE9GW32MM47MRPOK4,3.4,4.6,4.2,14,66,46.42857143,10.57142857,64.28571429,He said he'd be surprised to see him run for a lower state office.
1947,3YLTXLH3DE5Q93P2PBDKYUT54FIHPB,4.8,5,5.6,26,152,36.53846154,4.961538462,57.69230769,"He said he had been consistently warning Pakistan against meddling in India's affairs but if they continued to do so, ""we will deal with them strongly""."
1948,3QMELQS6Y4AVORL06KQ56Y4UWJPR6B,5,4.8,3.2,33,190,51.51515152,5.545454545,60.60606061,He said he had not approached members of the council - who include police officers and social services professionals as well as medical experts - but about a third had already contacted him.
1949,34ZTTGSNJWNB9FQHPOS9YZJF9B4HQ2,4.6,4.8,4.2,22,114,52.27272727,6.454545455,63.63636364,"He said he has been warning Pakistan not to play with India and that the Mumbai attacks should be the ""last game""."
1950,3RTFSSG7T75IF85TSI6DIGU8ETTWLR,4,5.6,4.6,20,99,57.5,4.95,45,He said he heard five to  seven shots  as he was leaving the stadium after his team's loss to Poly.
1951,30IRMPJWDYI2N66P8OK6GH9CXEAKRA,4.4,5.4,3,32,181,71.875,6.28125,56.25,"He said he is honored to find himself a member of Washington's exclusive club of 100, after working for decades in support roles as a Kennedy aide and top Democratic Party official."
1952,30EMX9PEVJIEOL62NDKB6RE8JGTKSY,3.4,5,4.6,12,67,25,5.75,50,He said he joined the Reserve so he could support them financially.
1953,3A3KKYU7P2G2LQNESU7SIT9XEYJWMT,4,4,4.4,23,130,58.69565217,5.304347826,65.2173913,"He said he simply intends to follow in Kennedy's footsteps, using his quiet skills to help bring health care reform to the nation."
1954,3VEI3XUCZQW3YX35LGPECYVBROGPRG,3.2,3,6.4,14,78,42.85714286,3.785714286,64.28571429,"He said he would be, and that reporters ""would have a political story Sunday."""
1955,3RWSQDNYL8LU4U92GITFJF3OMUIFF8,4.2,4.4,4.4,13,80,53.84615385,3.384615385,69.23076923,He said: 'I'd be surprised if the advisory council is operational by Christmas.'
1956,39O0SQZVJM6ESRZ5PUVXCC4QRU9R7A,5,4.6,5,28,152,58.92857143,5.75,64.28571429,He said: 'Independent advisers should be free to give advice but they should not express it in such a highly public way on an issue of such sensitivity.
1957,3IZPORCT1E8BLG5H23H93PTK5X6HR3,3.8,6,1.6,21,108,57.14285714,3.333333333,47.61904762,"He said it currently costs $350 for a gram of cocaine as opposed to ecstasy, which costs about $40 a tablet."
1958,3K8CQCU3KD08388E4VMSV8YXJOTWNT,4.2,4.8,4.8,37,217,63.51351351,4.378378378,62.16216216,"He said it if Captain Camara stood for election in January, it would be difficult to see how such a vote could be credible or bring normalization of ties between Guinea, its neighbors, and the international community."
1959,3MXX6RQ9EU4WXR17A4T145K1ZAW4PC,5.4,5.4,3.6,40,239,68.75,4.7,62.5,"He said Smith's decision to reclassify cannabis meant she had fallen victim to a ""skunk scare"", and in another dig at the government claimed that advocates of downgrading ecstasy from class A to class B had ""won the intellectual argument""."
1960,3A3KKYU7P2G2LQNESU7SIT9XEYKMWK,3.6,4.4,4.2,15,81,50,4.733333333,66.66666667,He said Sowell was known for borrowing money and looking for scrap metal to sell.
1961,3RKHNXPHGVVU3YY6CIFBLSWW4DEKUE,5.4,6.4,4.4,29,167,67.24137931,4.655172414,51.72413793,"He said that two years before two Sea Kings collided off Iraq in 2003, killing six Royal Navy officers and one American serviceman, he issued warnings about the risks."
1962,3M67TQBQQGNQ7T1H2G7VVI6MMGAA9Y,3,4.4,3.8,19,95,47.36842105,7.263157895,63.15789474,He said the council needs to discuss how to raise or set aside money to fix roads and drainage.
1963,36JW4WBR05JEIQ08B8HFM0F129VFH6,5.8,6.2,1.8,33,179,81.81818182,4.818181818,57.57575758,He said the draft amendment to the Electoral Law would be submitted to a bimonthly session in December and a NPC plenary session in March next year for a second and third reading.
1964,33TGB4G0LOGLNLIOBW4Q6QIWH8LTXK,4.6,5.8,3,46,276,81.52173913,5.434782609,65.2173913,"He said the United States is working with others in support of the early convening of a U.N. commission of inquiry on the September 28 attack, and backing African mediation led by Burkina Faso President Blasé Compaore aimed at moving Guinea to civilian rule through elections."
1965,3Y3N5A7N4F86AVIE7VPG3QUDP6KMYJ,4.6,5.2,4,12,65,16.66666667,5.916666667,58.33333333,He said they had done so by censoring anyone who questioned them.
1966,34F34TZU7VYQ82JMBD5TEU1R6XU2JE,4,4.2,4.6,12,70,29.16666667,4.166666667,66.66666667,He said: 'Tim was rather introverted. He changed his life many times.'
1967,3IVKZBIBJZ8NMV5UHSHETZYGRZPHSR,3.4,4.8,4,33,177,42.42424242,4.878787879,75.75757576,"He said: 'When Gordon Brown says that cannabis is a ""lethal drug"", when it clearly isn't, young people are not going to pay him any notice. You don't reduce drug harm by lying.'"
1968,324N5FAHSWAUGDN6H8PGHEYFIKNKV3,2.2,4,3.8,8,39,31.25,4.25,50,"He said, ""You see that? I'm a captain."""
1969,3THR0FZ95OSAAZWR1WF31MHMBRUOL7,3.6,4.6,5.2,21,105,71.42857143,3.761904762,57.14285714,"He says his honesty is costing him his dream of living in this country with his wife Ann, a U.S. citizen."
1970,3LB1BGHFL1VANQ8YGSQSP4P5JEFTYQ,4.2,4.2,5.2,42,226,61.9047619,3.880952381,52.38095238,"He says, ""I sometimes wonder if the very rich can live, on average, 20 years longer than the poor. That's 20 more years of earning and saving. Think about wealth and power and the advantages that you pass on to your children."""
1971,3MA5N0ATTBA7V2NB7IUC3GHTPTPKWD,3.8,4,5.6,28,154,53.57142857,5.928571429,67.85714286,He says Jackson believed that inflating his own worth meant the next deal that came his way would likely be presented with an extra zero already added in.
